Cause Negative Feeling,amuse-31.1,92,"['unsettle', 'dispirit', 'displease', 'agonize', 'fox', 'infuriate', 'disconcert', 'antagonize', 'shake', 'horrify', 'disillusion', 'aggravate', 'tire', 'vex', 'deject', 'rankle', 'daze', 'outrage', 'chill', 'demoralize', 'torture', 'nonplus', 'trouble', 'disturb', 'dishearten', 'miff', 'shock', 'try', 'stump', 'afflict', 'agitate', 'rile', 'depress', 'disquiet', 'irk', 'scandalize', 'sadden', 'weary', 'aggrieve', 'embarrass', 'cow', 'peeve', 'incense', 'sicken', 'harass', 'repel', 'dissatisfy', 'distress', 'perturb', 'nauseate', 'abash', 'mortify', 'appall', 'madden', 'irritate', 'daunt', 'dismay', 'disgust', 'exasperate', 'chagrin', 'hurt', 'disgruntle', 'plague', 'bug', 'humiliate', 'annoy', 'discomfit', 'affront', 'bother', 'grieve', 'gall', 'repulse', 'upset', 'unnerve', 'haunt', 'shame', 'torment', 'anger', 'enervate', 'wound', 'disappoint', 'exhaust', 'pain', 'frustrate', 'fluster', 'discourage', 'alienate', 'faze', 'alarm', 'revolt', 'enrage', 'offend']"
Manner of Motion,run-51.3.2,48,"['shuffle', 'gallop', 'skip', 'limp', 'bound', 'bounce', 'dash', 'wade', 'toddle', 'shamble', 'trot', 'sashay', 'glide', 'tramp', 'skitter', 'lurch', 'stumble', 'mosey', 'plod', 'leap', 'slog', 'swagger', 'stomp', 'lope', 'totter', 'canter', 'slink', 'waddle', 'zigzag', 'coast', 'dodder', 'bustle', 'hobble', 'dart', 'crawl', 'stroll', 'skulk', 'slither', 'skedaddle', 'lollop', 'strut', 'prowl', 'roll', 'stride', 'slide', 'meander', 'clump', 'prance']"
Cause Positive Feeling,amuse-31.1,40,"['reassure', 'soothe', 'hearten', 'revitalize', 'beguile', 'uplift', 'dazzle', 'solace', 'jollify', 'electrify', 'wow', 'comfort', 'please', 'amaze', 'exhilarate', 'calm', 'gladden', 'mollify', 'gratify', 'entrance', 'elate', 'relax', 'impress', 'excite', 'delight', 'placate', 'charm', 'titillate', 'pacify', 'spellbind', 'thrill', 'bewitch', 'fascinate', 'enthuse', 'refresh', 'enliven', 'cheer', 'enrapture', 'enchant', 'intrigue']"
Separate Physical Object,debone-10.8,25,"['debone', 'defeather', 'dehusk', 'degas', 'defoam', 'dehull', 'dehead', 'degrease', 'defang', 'degerm', 'degum', 'degut', 'dehair', 'deice', 'degrit', 'deink', 'defuzz', 'deforest', 'dehorn', 'deglaze', 'deflesh', 'debark', 'defog', 'defat', 'deflea']"
Living Entity Produce Sound Activity,manner_speaking-37.3,19,"['gurgle', 'moan', 'growl', 'bellow', 'rasp', 'groan', 'purr', 'roar', 'twitter', 'whimper', 'burble', 'squawk', 'lilt', 'howl', 'murmur', 'hiss', 'scream', 'coo', 'croak']"
Hit Activity,hit-18.1,18,"['knock', 'thwack', 'smash', 'beat', 'jab', 'tap', 'butt', 'smack', 'slap', 'bang', 'batter', 'rap', 'thump', 'strike', 'hit', 'hammer', 'whack', 'bash']"
Produce Sound Activity,sound_emission-43.2,17,"['jangle', 'tick', 'screech', 'crack', 'burble', 'clang', 'tinkle', 'rumble', 'sputter', 'clack', 'buzz', 'clatter', 'thunder', 'thud', 'trumpet', 'gurgle', 'boom']"
Emit Light,light_emission-43.1,17,"['shine', 'flicker', 'glare', 'glisten', 'sparkle', 'flare', 'flash', 'twinkle', 'shimmer', 'blink', 'beam', 'glint', 'glimmer', 'gleam', 'scintillate', 'glitter', 'glow']"
Prepare Food Activity,cooking-45.3,15,"['blanch', 'brown', 'scald', 'crisp', 'scallop', 'saute', 'toast', 'microwave', 'cook', 'simmer', 'sear', 'braise', 'overcook', 'pickle', 'steam']"
Cause Surprise Activity,amuse-31.1,15,"['mystify', 'overawe', 'dumbfound', 'floor', 'stun', 'shock', 'disarm', 'astound', 'stagger', 'astonish', 'stupefy', 'surprise', 'awe', 'flabbergast', 'startle']"
