Predicate name	Definition	Arguments	Comments
Adv (4 uses)	Adverbial. May be used in the middle construction, such as "this knife cuts well."	Prop	What is Prop? Property? Does not appear on reference page. Also a little confusing since we have a Property predicate.
Pred (50)	Predication, usually a predicate adjective that describes the Result of a Theme.	result(E), Theme	Should all be removed now. Changed to ch_of_state path_rel.
Prep (33)	path_rel (618)		Should all be removed now. Changed to path_rel/location.
about (34)	Communication or a social event in relation to a Theme.	E, Theme	Should we stick with this instead of Topic for the Battle class since we wanted to include physical and non-physical battling?
abstain (3)	An animate Agent or organization abstains from some activity (Theme).	during(E), Agent, Theme	
adjust (5)	An Agent causes change in a Patient in order to acheive some Goal  	during(E), Patient, Goal	
admit (3)	An Agent allows an entity Theme to enter a Location.	during(E), Agent, Theme, Location	
adopt (1)	An Agent or oganization takes on a Theme.	during(E), Agent, Theme	
agree (6)	An animate Agent or organization concurs with a Co-Agent about a Topic	during(E), Agent, Co-Agent, Topic	
alive (14)	An animate Patient is alive at the beginning or end of the event.	start(E) OR result(E), Patient	
allow (9)	An Agent or organization allows a Beneficiary to engage in an activity (Theme).	during(E), Agent, Theme, Beneficiary	
apart (16)	At the end of an event or as a result of the event, two Patients, or a Patient and Co-Patient, have the property of being apart from each other.	result(E) OR end(E), Patient, Co-Patient	
appear (8)	A Theme appears during an event in a Location.	during(E), Theme, Location	
apply_heat (7)	Using an Instrument, heat is applied to a Patient.	during(E), Instrument, Patient	
apply_material (3)	An Agent applies a Material to a Patient.	during(E), Material, Patient	
approve (9)	An animate Agent or organization approves a Theme.	during(E), Agent, Theme	
assess (12)	An animate Agent or organization assesses a Theme to determine its Attribute/Value.	during(E), Agent, Theme, Attribute OR Value	
attached (15)	An Agent attaches a Patient or Co-Patient using an Instrument.	end(E), Patient/Co-Patient, Instrument	
attempt (8)	An animate Agent or organization attempts an activity (Theme).	during(E), Agent, Theme	
authority_relationship (15)	An authority and a subordinate enter into a relationship.	(end(E)), Participant, Participant)	
avoid (4)	An animate Agent avoids a Theme or Location	during(E), Agent, Theme OR Location	
base (4)	An Agent uses a Source as a basis for some Theme.	E, Theme, Source	
begin (9)	A Theme begins.	E, Theme	
believe (4)	An animate Agent or organization believes a Theme to be in some event or state.	during(E), Agent, Theme, Predicate	
benefit (25)	A Beneficiary benefits from some event.	E, Beneficiary	
body_motion (17)	An Agent performs an action or motion with a part of his/her body.	during(E), Undergoer	
body_process (10)	An animate Agent undergoes a bodily process.	E, Participant	
body_reflex (4)	An animate Experiencer undergoes a bodily reflex, possibly in response to a Stimulus.	E, Experiencer	
calculate (4)	An animate Agent or organization uses a plural Theme or a Theme and a Co-Theme to calculate some result.	during(E), Agent, Theme, (Co-Theme)	
capacity (2)	A Location has a capacity/can contain a certain amount equal to some Value.	E, Location, Value	
cause (696)	An Affector (Agent, Cause, Stimulus, or Precondition) causes an event.	Affector, E	
change_value (17)	A Patient moves along a scale in some Direction to attain a new value. 	during(E), Patient, Direction, Attribute	This predicate takes 3 arguments in caused_calibratable_cos-45.6.2, and 4 arguments in calibratable_cos-45.6.1.
characterize (4)	An animate Agent or organization characterizes a Theme as an Attribute	during(E), Theme, Attribute	Why does the Characterize class include both the Characterize and Describe predicates?
charge (5)	A human Agent or organization apprehends a human Patient for some crime/Theme.	during(E), Agent, Patient, Theme	
conclude (4)	An animate Agent or organization concludes an activity/Theme from a Source.	during(E), Agent, Theme, Source	
confined (2)	A Theme is confined.	result(E), Theme	
conflict (23)	An Agent or Co-Agent (animate or organization) engage in conflict.	during(E), Agent, Co-Agent	
confront (2)	An animate Agent or organization confronts a Theme, possibly with an Instrument.	during(E), Agent, Theme, Instrument	
consider (19)	An animate Agent or ogranization considers a Theme	during(E), Agent, Theme	Attribute isn't included in any of the predicates. Add a new predicate or edit this one?
conspire (4)	An animate or organizational Agent(s) conspires against a malefactive, possibly with a Co-Agent.	during(E), Agent, (Agent OR Co-Agent), Theme	
contact (143)	Two participants come into physical contact.	during(E) OR end(E), Participant, Participant	
contain (1)	A Pivot contains a Theme.	during(E), Pivot, Theme	
continue (7)	An animate Agent or organization causes a Theme, usually an event or situation, to continue. The Theme may continue as some Attribute.	during(E), (Agent), Theme, (Attribute)	Sustain-55.6 has E, Agent, Theme, Attribute, and continue-55.3 just includes E, Theme. Revise?
convert (7)	A Patient is converted from a Source to a Goal.	during(E), Patient, Source, Goal	
cooked (9)	A Patient is cooked into a certain Form.	result(E), Form, Patient	
cooperate (11)	An animate Agent or organization cooperates with another animate or organizational Agent/Co-Agent on some Theme.	during(E), Agent, Agent OR Co-Agent, Theme	
cope (3)	An animate Agent or organization copes with a Theme.	E, Agent, Theme	
correlate (2)	A Theme and Co-Theme correlate or alternate with each other.	E, Theme, Co-Theme	
cost (12)	The cost of an event or or item is equal to a monetary Asset.	E, Asset	
covered (3)	An Agent covers a Patient with a Material.	result(E), Material, Patient	
created_image (12)	An Agent creates an image of some Theme.	result(E), Theme	
declare (24)	A human or organizational Agent declares an Undergoer (as some Attribute/Result).	during(E), Agent, Undergoer, (Attribute OR Result)	
dedicate (2)	An animate or organizational Agent dedicates a Theme, often reciprocal, to a Goal.	during(E), Agent, Theme, Goal	
defend (4)	An animate or organizational Agent defends an animate or organizational Beneficiary against some Theme.	during(E), Agent, Beneficiary, Theme	
degradation_material_integrity(70)	An Patient or Co-Patient's wholeness is broken down.	result(E), Undergoer	
delay (1)	An Agent delays a Theme, usually an event.	during(E), Agent, Theme	
depend (9)	A Theme depends on an Agent or Pivot.	during(E), Agent OR Pivot, Theme	
describe (9)	An animate or organizational Agent describes a Theme.	during(E), Agent, Theme	Why are both Characterize and Describe predicates in this class? Use only one?
designated (13)	An Agent designates an Affector or Undergoer as having some Result, Role, or being some Theme.	start(E) OR end(E) OR result(E), Affector OR Undergoer, Result OR Role OR Theme	These are a little inconsistent in the classes they appear in, especially in void-106 compared to the others. Revise? Also, what is "Role" in orphan-29.7?
desire (22)	A Participant desires a Theme or Stimulus.	result(E) OR E, Pivot OR Patient OR Experiencer, Theme OR Stimulus	addict-96: can we use Stimulus here without an Experiencer?
destroyed (3)	An Agent destroys a concrete Patient.	result(E), Patient	
different (6)	A Theme and a Co-Theme are different.	E, Theme, Co-Theme	
direction (5)	A Theme or Sound moves toward a Destination or Recipient.	during(E), (toward), Theme OR Sound, Location	In all classes except animal_sounds-38, Direction contains "toward." Add it to Direction in this class?
disappear (2)	A Patient disappears from an Initial Location during an event	during(E), Patient, Initial Location	
discomfort (5)	A body part Patient experiences discomfort	during(E), Patient	
discover (20)	An animate Agent or organization learns of a Theme possibly from a source	during(E), Agent, Theme, Source	
do (27)	A participant engages in an action.	during(E), Agent OR Patient, Predicate OR Result OR Theme	Removed all Do predicates, will change all Agentive Cause predicates to Do instead.
earn (1)	A Theme earns a value/ asset	E, Theme, Asset	
emit (38)	Some kind of Theme is emitted from a Participant	during(E), Participant, Theme (some type)	Should Sound, Light, and/or Odor be replaced by Theme, or are they necessary in classes like Animal_sounds, Light_emission and Smell_emission?  Sound/Odor/Light/Theme can be emitted from an Agent, Theme, Source, or Pivot. Edit this predicate, or generalize with Participant in the definition/arguments?
